Name               Version                     Rev    Tracking       Publisher     Notes
authy              2.4.0                       20     latest/stable  twilio-authy  -
bare               1.0                         5      latest/stable  canonical**   base
core18             20230530                    2785   latest/stable  canonical**   base
core20             20230622                    1974   latest/stable  canonical**   base
core22             20230703                    817    latest/stable  canonical**   base
gnome-3-28-1804    3.28.0-19-g98f9e67.98f9e67  198    latest/stable  canonical**   -
gnome-3-38-2004    0+git.efb213a               143    latest/stable  canonical**   -
gnome-42-2204      0+git.ff35a85               120    latest/stable  canonical**   -
gtk-common-themes  0.1-81-g442e511             1535   latest/stable  canonical**   -
node               20.5.0                      7662   20/stable      iojs**        classic
onshape            0.5.20                      6      latest/edge    develar       -
rustup             1.24.3                      1027   latest/stable  dsilvers      classic
snap-store         41.3-71-g709398e            959    latest/stable  canonical**   -
snapd              2.59.5                      19457  latest/stable  canonical**   snapd
termius-beta       8.0.2                       272    latest/stable  termius**     -
